animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,Amphibian
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,Bird
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,Bird
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,Bird
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,Mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,Mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,Bird
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,Bird
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,Mammal
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,Amphibian
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,Fish
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,Reptile
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,Mammal
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,Bird
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,Mammal
